City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kununurra,AU,85.98,scattered clouds,-15.7667,128.7333,Hotel Kununurra
1,Mareeba,AU,75.43,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
4,Ravenna,IT,83.08,clear sky,44.4167,11.9833,Hotel Tatì
7,Palmar,CR,77.22,overcast clouds,9.8728,-84.4553,Casa Victoria y Anabella
14,Tukrah,LY,78.28,clear sky,32.5341,20.5791,Lagrota restaurant
21,Marsaxlokk,MT,81.09,clear sky,35.8419,14.5431,Water's Edge
23,Kapaa,US,86.32,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
24,Hithadhoo,MV,82.67,overcast clouds,-0.6,73.0833,Scoop Guest House
29,Atuona,PF,77.99,few clouds,-9.8,-139.0333,Villa Enata
33,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
34,Butaritari,KI,83.32,few clouds,3.0707,172.7902,Isles Sunset Lodge
35,Hilo,US,82.13,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
40,Myitkyina,MM,75.15,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
41,Lorengau,PG,82.45,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
42,Dadu,PK,87.21,clear sky,26.7329,67.7763,Zong Serves Centre
47,Buala,SB,79.65,light rain,-8.145,159.5921,Maringe Lagoon Lodge
51,Kulhudhuffushi,MV,81.43,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
58,Tommot,RU,75.34,few clouds,58.9564,126.2925,Gostinitsa Tommot
61,Naze,JP,83.32,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
63,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
65,Sioux Lookout,CA,84.58,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
71,Banjar,ID,80.46,clear sky,-8.19,114.9675,The Hamsa Resort
77,Sao Filipe,CV,77.14,overcast clouds,14.8961,-24.4956,Hotel Xaguate
83,Havelock,US,84.18,scattered clouds,34.8791,-76.9013,Sherwood Motel
84,Bitung,ID,83.25,scattered clouds,1.4451,125.1824,K2 Lembeh
86,Lingao,CN,80.83,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
87,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
98,Veraval,IN,80.83,overcast clouds,20.9,70.3667,Lords Inn Somnath
101,San Carlos Del Zulia,VE,80.65,scattered clouds,9.0,-71.9135,Hotel El Manantial
102,Aswan,EG,88.9,clear sky,24.0934,32.907,Nuba Nile
104,Pran Buri,TH,78.82,overcast clouds,12.3847,99.9098,Waterside Resort
108,Baru,ID,80.55,overcast clouds,-7.0525,112.3901,PP Matholi'ul Anwar
118,Najran,SA,83.05,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
121,Harper,LR,75.6,few clouds,4.375,-7.7169,Screensaver
122,Maria Aurora,PH,81.63,broken clouds,15.7967,121.4737,Attic Travellers Inn
124,Wilmington,US,82.94,few clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
129,Granada,ES,83.3,broken clouds,37.25,-3.25,área autocaravanas La Peza
135,Victoria,HK,86.97,scattered clouds,22.2855,114.1577,Mini Hotel Central
146,Danville,US,77.38,broken clouds,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
147,Kavaratti,IN,81.18,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
148,Trapani,IT,82.27,clear sky,37.8333,12.6667,
152,Teluknaga,ID,78.98,haze,-6.0989,106.6381,Bale Ocasa hotel
154,Kahului,US,85.96,light rain,20.8947,-156.47,Maui Seaside Hotel
161,Corn Island,NI,82.2,scattered clouds,12.1694,-83.0418,Big Fish Guest House
168,Cortez,US,76.03,scattered clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
170,Tondi,IN,82.11,overcast clouds,9.7333,79.0167,Star Lodge
172,Tuscaloosa,US,77.97,scattered clouds,33.2098,-87.5692,Hampton Inn Tuscaloosa-University
173,Tiarei,PF,84.22,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
174,Belen,TR,75.34,clear sky,36.4891,36.2233,Varlıbaş Uyku Sarayı
176,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
180,Banda Aceh,ID,78.69,overcast clouds,5.5577,95.3222,Sulthan Hotel International
181,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
186,Republic,US,82.36,clear sky,37.12,-93.4802,AmericInn by Wyndham Republic
187,Hobyo,SO,76.57,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
190,Hami,CN,77.05,overcast clouds,42.8,93.45,Laoyutang Resort
191,Panguna,PG,80.76,light rain,-6.3164,155.4848,
194,Jimo,CN,80.38,few clouds,36.3897,120.4622,Thank Inn Chain Hotel Shandong Jimo Bus Station
195,Diplo,PK,82.31,overcast clouds,24.4667,69.584,Mukhi Ahmed Ali Residency
197,Namatanai,PG,82.83,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
198,Ponta Do Sol,PT,86.63,clear sky,32.6667,-17.1,Hotel do Campo
199,Bubaque,GW,78.4,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
209,Port Hedland,AU,75.25,few clouds,-20.3167,118.5667,The Esplanade Hotel
213,Phenix City,US,84.67,clear sky,32.471,-85.0008,Columbus Marriott
214,Labrea,BR,81.84,scattered clouds,-7.2586,-64.7981,Hotel Novo Horizonte
215,Sulangan,PH,82.85,overcast clouds,11.1373,123.7228,Maia's Beach Resort
216,Marrakesh,MA,87.87,scattered clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
218,Avarua,CK,75.25,light rain,-21.2078,-159.775,Paradise Inn
223,Salinopolis,BR,76.93,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
226,Saint Pete Beach,US,81.19,light rain,27.7253,-82.7412,Sirata Beach Resort
229,Lucea,JM,77.86,moderate rain,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
238,Babugarh,IN,82.27,clear sky,28.7167,77.85,Manohar Heritage
239,Udon Thani,TH,75.11,broken clouds,17.3333,102.8333,P.T.K. Apartment
246,Ormara,PK,79.07,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
249,Masallatah,LY,75.94,clear sky,32.6167,14.0,Mustafa Taher Sowaidan
