City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kununurra,AU,-15.7667,128.7333,85.98,21,34,17.27,scattered clouds
1,Mareeba,AU,-17.0,145.4333,75.43,71,12,6.53,few clouds
2,Prince Rupert,CA,54.3161,-130.3201,59.09,74,40,8.05,light rain
3,Oriximina,BR,-1.7656,-55.8661,74.82,90,30,2.26,scattered clouds
4,Ravenna,IT,44.4167,11.9833,83.08,67,0,7.25,clear sky
5,Geraldton,AU,-28.7667,114.6,59.41,44,0,19.57,clear sky
6,Orje,NO,59.4802,11.6602,54.05,95,52,4.07,broken clouds
7,Palmar,CR,9.8728,-84.4553,77.22,97,100,1.92,overcast clouds
8,Kaeo,NZ,-35.1,173.7833,61.32,70,60,7.7,broken clouds
9,Novoagansk,RU,61.9449,76.6625,56.84,78,14,7.83,few clouds
10,Bilma,NE,18.6853,12.9164,92.32,29,65,7.34,broken clouds
11,High Level,CA,58.5169,-117.136,57.31,100,75,4.61,thunderstorm
12,Reconquista,AR,-29.15,-59.65,55.81,61,13,7.27,few clouds
13,Frolovo,RU,49.7713,43.6622,69.06,85,100,6.96,light rain
14,Tukrah,LY,32.5341,20.5791,78.28,61,0,8.03,clear sky
15,Punta Arenas,CL,-53.15,-70.9167,41.11,93,90,4.61,overcast clouds
16,Colac,AU,-38.3333,143.5833,53.62,82,100,13.49,overcast clouds
17,Albany,US,42.6001,-73.9662,68.63,74,99,2.68,overcast clouds
18,Hermanus,ZA,-34.4187,19.2345,56.89,73,11,8.03,few clouds
19,East London,ZA,-33.0153,27.9116,58.62,72,0,10.38,clear sky
20,Royan,FR,45.6285,-1.0281,66.18,71,74,14.81,broken clouds
21,Marsaxlokk,MT,35.8419,14.5431,81.09,83,0,2.3,clear sky
22,Bluff,NZ,-46.6,168.3333,57.79,62,99,19.51,overcast clouds
23,Kapaa,US,22.0752,-159.319,86.32,67,1,1.99,clear sky
24,Hithadhoo,MV,-0.6,73.0833,82.67,69,100,13.76,overcast clouds
25,Kenai,US,60.5544,-151.2583,68.02,52,1,13.8,clear sky
26,Belmonte,BR,-15.8631,-38.8828,72.1,79,0,5.77,clear sky
27,Uruzgan,AF,32.8333,66.0,69.39,17,0,4.9,clear sky
28,Rikitea,PF,-23.1203,-134.9692,74.82,76,0,12.8,clear sky
29,Atuona,PF,-9.8,-139.0333,77.99,66,16,13.15,few clouds
30,Saint George,US,37.1041,-113.5841,105.64,20,1,5.01,clear sky
31,Barrow,US,71.2906,-156.7887,37.42,81,90,19.57,light rain
32,Aklavik,CA,68.2191,-135.0107,59.72,57,100,6.93,overcast clouds
33,Alofi,NU,-19.0595,-169.9187,75.09,83,92,16.11,overcast clouds
