City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2021-08-04 03:05:58,-34.5322,20.0403,50.29,95,36,2.59
1,Punta Arenas,CL,2021-08-04 03:02:35,-53.15,-70.9167,42.12,70,100,14.56
2,Sistranda,NO,2021-08-04 03:05:59,63.7256,8.834,51.91,70,81,4.63
3,Qaanaaq,GL,2021-08-04 03:05:59,77.484,-69.3632,42.4,95,100,1.79
4,Monmouth,US,2021-08-04 03:05:59,40.3001,-74.1663,73.18,80,1,0.0
5,Moron,AR,2021-08-04 03:05:59,-34.6534,-58.6198,53.98,95,31,2.82
6,Hithadhoo,MV,2021-08-04 03:05:36,-0.6,73.0833,81.82,75,100,7.9
7,Hilo,US,2021-08-04 03:03:29,19.7297,-155.09,76.73,84,90,0.0
8,Ushuaia,AR,2021-08-04 03:05:55,-54.8,-68.3,40.66,70,75,5.75
9,Bengkulu,ID,2021-08-04 03:06:00,-3.8004,102.2655,81.95,74,100,5.32
10,Zyryanka,RU,2021-08-04 03:06:00,65.75,150.85,47.62,56,100,25.17
11,Mersing,MY,2021-08-04 03:06:01,2.4312,103.8405,87.49,58,90,6.82
12,Tiksi,RU,2021-08-04 03:06:01,71.6872,128.8694,45.07,72,76,10.36
13,Rikitea,PF,2021-08-04 03:06:01,-23.1203,-134.9692,70.16,62,64,14.14
14,Krasnyy Yar,RU,2021-08-04 03:06:02,46.5331,48.3456,67.93,32,9,3.06
15,Thompson,CA,2021-08-04 03:05:25,55.7435,-97.8558,75.97,41,100,7.18
16,Narsaq,GL,2021-08-04 03:03:12,60.9167,-46.05,44.82,97,100,3.42
17,Butaritari,KI,2021-08-04 03:06:02,3.0707,172.7902,83.44,69,78,12.62
18,Bluff,NZ,2021-08-04 03:06:02,-46.6,168.3333,46.8,62,100,4.45
19,Hermanus,ZA,2021-08-04 03:06:03,-34.4187,19.2345,50.9,88,34,5.3
20,Mount Darwin,ZW,2021-08-04 03:06:03,-16.7725,31.5838,44.64,88,0,3.49
21,Praya,CV,2021-08-04 03:06:03,14.9215,-23.5087,77.54,94,75,4.61
22,Davila,PH,2021-08-04 03:06:04,18.4726,120.5763,83.1,87,100,31.0
23,Vestmanna,FO,2021-08-04 03:06:04,62.1564,-7.1664,49.12,100,90,9.22
24,Ajdabiya,LY,2021-08-04 03:06:04,30.7554,20.2263,86.02,27,0,8.14
25,Chokurdakh,RU,2021-08-04 03:06:05,70.6333,147.9167,57.47,31,29,13.29
26,Busselton,AU,2021-08-04 03:06:05,-33.65,115.3333,57.04,66,61,1.74
27,Barrow,US,2021-08-04 03:01:16,71.2906,-156.7887,50.02,65,20,16.11
28,Saldanha,ZA,2021-08-04 03:06:05,-33.0117,17.9442,55.0,87,39,7.11
29,Torbay,CA,2021-08-04 03:06:06,47.6666,-52.7314,61.68,85,67,5.01
30,Aden,YE,2021-08-04 03:06:06,12.7794,45.0367,84.2,77,17,16.75
31,Moussoro,TD,2021-08-04 03:06:06,13.6408,16.4901,80.74,71,98,10.69
32,Elban,RU,2021-08-04 03:06:07,50.1018,136.5094,60.12,94,100,7.65
